alcance,set_features,sin_seleccion,n_features,detector,es_cascada,fpr_detector,tipo,n,detectados,recall,semilla,commit,fecha
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.105447,snmpguess,331,5,0.015106,1,df30cb2,2026-08-12T22:15:08
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.105447,sqlattack,2,2,1.0,1,df30cb2,2026-08-12T22:15:08
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.105447,udpstorm,2,1,0.5,1,df30cb2,2026-08-12T22:15:09
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.105447,worm,2,0,0.0,1,df30cb2,2026-08-12T22:15:09
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.105447,xlock,9,4,0.444444,1,df30cb2,2026-08-12T22:15:09
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.105447,xsnoop,4,2,0.5,1,df30cb2,2026-08-12T22:15:10
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.105447,xterm,13,10,0.769231,1,df30cb2,2026-08-12T22:15:10
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.105447,__global__,3750,2746,0.732267,1,df30cb2,2026-08-12T22:15:10
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.090516,apache2,737,735,0.997286,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.090516,httptunnel,133,115,0.864662,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.090516,mailbomb,293,0,0.0,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.090516,mscan,996,976,0.97992,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.090516,named,17,8,0.470588,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.090516,processtable,685,334,0.487591,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.090516,ps,15,3,0.2,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.090516,saint,319,314,0.984326,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.090516,sendmail,14,1,0.071429,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.090516,snmpgetattack,178,11,0.061798,1,df30cb2,2026-08-12T22:25:12
