alcance,set_features,sin_seleccion,n_features,detector,es_cascada,fpr_detector,tipo,n,detectados,recall,semilla,commit,fecha
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.165894,httptunnel,133,65,0.488722,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.165894,mailbomb,293,224,0.764505,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.165894,mscan,996,353,0.354418,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.165894,named,17,9,0.529412,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.165894,processtable,685,239,0.348905,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.165894,ps,15,10,0.666667,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.165894,saint,319,254,0.796238,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.165894,sendmail,14,10,0.714286,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.165894,snmpgetattack,178,11,0.061798,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.165894,snmpguess,331,9,0.02719,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.165894,sqlattack,2,2,1.0,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.165894,udpstorm,2,1,0.5,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.165894,worm,2,0,0.0,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.165894,xlock,9,0,0.0,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.165894,xsnoop,4,2,0.5,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.165894,xterm,13,9,0.692308,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.165894,__global__,3750,1351,0.360267,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.084852,apache2,737,735,0.997286,42,38fdd4b,2026-08-07T10:31:11
