tabla_origen,bloque,set_features,algoritmo,metrica,n,media,sd,min,max,valor_semilla_42,dentro_banda_42,distancia_fuera_banda_42,commit_semilla_42,semillas,alcance,nota_bloque,decisiones_no_constantes,commits_origen,commit_agregador,fecha
metricas_anomalias_semillas.csv,calidad,54,Autoencoder,fpr,10,0.0986,0.005,0.0934,0.107,0.1017,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,,df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,54,Autoencoder,pr_auc,10,0.9287,0.0077,0.9208,0.9464,0.9092,fuera,0.011533,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,,df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,54,Autoencoder,roc_auc,10,0.9343,0.0077,0.9242,0.9489,0.9288,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,,df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,54,Autoencoder,umbral,10,0.0001,0.0001,0.0,0.0003,0.0,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,,df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,54,IsolationForest,f1,10,0.8259,0.012,0.8062,0.8428,0.8341,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,"config_ganadora: {'n_estimators': 100, 'max_samples': 1.0} en 5 semilla(s) · {'n_estimators': 200, 'max_samples': 1.0} en 4 semilla(s) · {'n_estimators': 300, 'max_samples': 1.0} en 1 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,54,IsolationForest,fpr,10,0.0995,0.0019,0.0969,0.1024,0.1002,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,"config_ganadora: {'n_estimators': 100, 'max_samples': 1.0} en 5 semilla(s) · {'n_estimators': 200, 'max_samples': 1.0} en 4 semilla(s) · {'n_estimators': 300, 'max_samples': 1.0} en 1 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,54,IsolationForest,pr_auc,10,0.9347,0.0079,0.9197,0.9421,0.9181,fuera,0.00163,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,"config_ganadora: {'n_estimators': 100, 'max_samples': 1.0} en 5 semilla(s) · {'n_estimators': 200, 'max_samples': 1.0} en 4 semilla(s) · {'n_estimators': 300, 'max_samples': 1.0} en 1 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,54,IsolationForest,roc_auc,10,0.9294,0.0041,0.9225,0.9336,0.9229,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,"config_ganadora: {'n_estimators': 100, 'max_samples': 1.0} en 5 semilla(s) · {'n_estimators': 200, 'max_samples': 1.0} en 4 semilla(s) · {'n_estimators': 300, 'max_samples': 1.0} en 1 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,54,IsolationForest,umbral,10,0.4366,0.0033,0.432,0.4436,0.4406,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,"config_ganadora: {'n_estimators': 100, 'max_samples': 1.0} en 5 semilla(s) · {'n_estimators': 200, 'max_samples': 1.0} en 4 semilla(s) · {'n_estimators': 300, 'max_samples': 1.0} en 1 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,54,LocalOutlierFactor,f1,10,0.5838,0.0404,0.5196,0.648,0.5718,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,,df30cb2,6bb224c-sucio,2026-08-14T15:15:13
